Nanoparticle,BaseFluid,Temperature (°C),Particle Size (nm),Particle Volume Fraction (in %),TC(W/mK),Thermal Conductivity of Particle (kp),Thermal Conductivity of Liquid (km),kp/km ratio,Temp_Volume,Inverse_Particle_Size,Brownian_Feature
Al2O3,Water,50.0,25.0,0.0038,0.61,36.0,0.6,60.0,0.19,0.04,10.0
Al2O3,Water,30.0,25.0,0.005,0.613,36.0,0.6,60.0,0.15,0.04,6.0
Al2O3,Water,20.0,20.0,0.05,0.74,36.0,0.6,60.0,1.0,0.05,4.47213595499958
Al2O3,Water,40.0,30.0,0.0159,0.64,36.0,0.6,60.0,0.636,0.0333333333333333,7.302967433402215
Al2O3,EG30,25.0,45.0,0.05,0.62,36.0,0.3,120.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,60.0,40.0,0.0023,0.606,36.0,0.6,60.0,0.138,0.025,9.486832980505138
Al2O3,Water,30.0,20.0,0.05,0.67,36.0,0.6,60.0,1.5,0.05,6.7082039324993685
Al2O3,Water,40.0,25.0,0.0164,0.641,36.0,0.6,60.0,0.656,0.04,8.0
Al2O3,Water,50.0,30.0,0.012,0.63,36.0,0.6,60.0,0.6,0.0333333333333333,9.128709291752768
Al2O3,Water,70.0,30.0,0.0141,0.636,36.0,0.6,60.0,0.987,0.0333333333333333,12.780193008453876
Al2O3,EG15,25.0,45.0,0.05,0.62,36.0,0.4,90.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,50.0,20.0,0.05,0.85,36.0,0.6,60.0,2.5,0.05,11.180339887498947
Al2O3,Water,20.0,50.0,0.0223,0.656,36.0,0.6,60.0,0.446,0.02,2.82842712474619
Al2O3,Water,60.0,30.0,0.01,0.625,36.0,0.6,60.0,0.6,0.0333333333333333,10.954451150103322
Al2O3,EG15,25.0,45.0,0.01,0.58,36.0,0.4,90.0,0.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,40.0,20.0,0.05,0.69,36.0,0.6,60.0,2.0,0.05,8.94427190999916
Al2O3,Water,30.0,40.0,0.0013,0.603,36.0,0.6,60.0,0.039,0.025,4.743416490252569
Al2O3,Water,20.0,40.0,0.0283,0.671,36.0,0.6,60.0,0.566,0.025,3.162277660168379
Al2O3,Water,40.0,20.0,0.05,0.75,36.0,0.6,60.0,2.0,0.05,8.94427190999916
Al2O3,Water,30.0,40.0,0.0263,0.666,36.0,0.6,60.0,0.789,0.025,4.743416490252569
ZrO2,Water,30.0,25.0,0.005,0.623,2.0,0.6,3.333333333333333,0.15,0.04,6.0
ZrO2,Water,70.0,30.0,0.0212,0.697,2.0,0.6,3.333333333333333,1.484,0.0333333333333333,12.780193008453876
ZrO2,Water,70.0,40.0,0.0023,0.61,2.0,0.6,3.333333333333333,0.161,0.025,11.067971810589327
ZrO2,Water,27.0,20.0,0.05,0.62,2.0,0.6,3.333333333333333,1.35,0.05,6.037383539249432
ZrO2,Water,20.0,30.0,0.0254,0.716,2.0,0.6,3.333333333333333,0.508,0.0333333333333333,3.651483716701108
ZrO2,Water,60.0,50.0,0.0097,0.644,2.0,0.6,3.333333333333333,0.5820000000000001,0.02,8.48528137423857
ZrO2,Water,60.0,30.0,0.0215,0.698,2.0,0.6,3.333333333333333,1.2899999999999998,0.0333333333333333,10.954451150103322
ZrO2,Water,30.0,25.0,0.0137,0.662,2.0,0.6,3.333333333333333,0.411,0.04,6.0
ZrO2,Water,40.0,50.0,0.0281,0.728,2.0,0.6,3.333333333333333,1.124,0.02,5.65685424949238
ZrO2,Water,30.0,25.0,0.021,0.696,2.0,0.6,3.333333333333333,0.63,0.04,6.0
ZrO2,Water,20.0,30.0,0.0182,0.683,2.0,0.6,3.333333333333333,0.364,0.0333333333333333,3.651483716701108
ZrO2,Water,20.0,40.0,0.0175,0.68,2.0,0.6,3.333333333333333,0.35,0.025,3.162277660168379
ZrO2,Water,50.0,30.0,0.0222,0.701,2.0,0.6,3.333333333333333,1.11,0.0333333333333333,9.128709291752768
ZrO2,Water,40.0,20.0,0.0099,0.645,2.0,0.6,3.333333333333333,0.396,0.05,8.94427190999916
ZrO2,Water,60.0,20.0,0.0029,0.613,2.0,0.6,3.333333333333333,0.174,0.05,13.416407864998735
ZrO2,Water,70.0,50.0,0.0253,0.715,2.0,0.6,3.333333333333333,1.771,0.02,9.899494936611664
ZrO2,Water,40.0,25.0,0.01,0.646,2.0,0.6,3.333333333333333,0.4,0.04,8.0
ZrO2,Water,20.0,50.0,0.0212,0.697,2.0,0.6,3.333333333333333,0.424,0.02,2.82842712474619
ZrO2,Water,20.0,20.0,0.0279,0.727,2.0,0.6,3.333333333333333,0.558,0.05,4.47213595499958
ZrO2,Water,20.0,40.0,0.0061,0.628,2.0,0.6,3.333333333333333,0.122,0.025,3.162277660168379
ZrO2,Water,70.0,25.0,0.023,0.705,2.0,0.6,3.333333333333333,1.61,0.04,14.0
ZrO2,Water,70.0,30.0,0.0191,0.687,2.0,0.6,3.333333333333333,1.337,0.0333333333333333,12.780193008453876
ZrO2,Water,40.0,20.0,0.0127,0.658,2.0,0.6,3.333333333333333,0.508,0.05,8.94427190999916
ZrO2,Water,50.0,25.0,0.0261,0.719,2.0,0.6,3.333333333333333,1.3050000000000002,0.04,10.0
ZrO2,Water,30.0,25.0,0.0035,0.616,2.0,0.6,3.333333333333333,0.105,0.04,6.0
ZrO2,Water,20.0,50.0,0.0228,0.704,2.0,0.6,3.333333333333333,0.456,0.02,2.82842712474619
ZrO2,Water,50.0,50.0,0.0063,0.629,2.0,0.6,3.333333333333333,0.315,0.02,7.071067811865475
ZrO2,Water,30.0,40.0,0.0171,0.678,2.0,0.6,3.333333333333333,0.513,0.025,4.743416490252569
ZrO2,Water,60.0,30.0,0.0249,0.714,2.0,0.6,3.333333333333333,1.494,0.0333333333333333,10.954451150103322
ZrO2,Water,70.0,30.0,0.0084,0.638,2.0,0.6,3.333333333333333,0.588,0.0333333333333333,12.780193008453876
ZrO2,Water,50.0,50.0,0.0222,0.701,2.0,0.6,3.333333333333333,1.11,0.02,7.071067811865475
ZrO2,Water,40.0,25.0,0.0025,0.611,2.0,0.6,3.333333333333333,0.1,0.04,8.0
ZrO2,Water,60.0,25.0,0.0245,0.712,2.0,0.6,3.333333333333333,1.47,0.04,12.0
ZrO2,Water,20.0,20.0,0.0186,0.685,2.0,0.6,3.333333333333333,0.372,0.05,4.47213595499958
ZrO2,Water,30.0,20.0,0.0261,0.719,2.0,0.6,3.333333333333333,0.783,0.05,6.7082039324993685
ZrO2,Water,70.0,25.0,0.0217,0.699,2.0,0.6,3.333333333333333,1.519,0.04,14.0
ZrO2,Water,40.0,30.0,0.0057,0.626,2.0,0.6,3.333333333333333,0.228,0.0333333333333333,7.302967433402215
ZrO2,Water,20.0,20.0,0.0124,0.657,2.0,0.6,3.333333333333333,0.248,0.05,4.47213595499958
ZrO2,Water,27.0,20.0,0.05,0.72,2.0,0.6,3.333333333333333,1.35,0.05,6.037383539249432
ZrO2,Water,30.0,20.0,0.0206,0.694,2.0,0.6,3.333333333333333,0.618,0.05,6.7082039324993685
ZrO2,Water,40.0,40.0,0.0063,0.629,2.0,0.6,3.333333333333333,0.252,0.025,6.324555320336758
ZrO2,Water,70.0,30.0,0.0121,0.655,2.0,0.6,3.333333333333333,0.847,0.0333333333333333,12.780193008453876
ZrO2,Water,70.0,50.0,0.0203,0.693,2.0,0.6,3.333333333333333,1.4209999999999998,0.02,9.899494936611664
ZrO2,Water,50.0,25.0,0.02,0.691,2.0,0.6,3.333333333333333,1.0,0.04,10.0
ZrO2,Water,20.0,50.0,0.0026,0.612,2.0,0.6,3.333333333333333,0.052,0.02,2.82842712474619
ZrO2,Water,20.0,40.0,0.0048,0.622,2.0,0.6,3.333333333333333,0.0959999999999999,0.025,3.162277660168379
ZrO2,Water,70.0,30.0,0.0272,0.724,2.0,0.6,3.333333333333333,1.904,0.0333333333333333,12.780193008453876
ZrO2,Water,60.0,30.0,0.0046,0.621,2.0,0.6,3.333333333333333,0.276,0.0333333333333333,10.954451150103322
ZrO2,Water,40.0,50.0,0.0247,0.713,2.0,0.6,3.333333333333333,0.988,0.02,5.65685424949238
ZrO2,Water,70.0,30.0,0.0131,0.66,2.0,0.6,3.333333333333333,0.917,0.0333333333333333,12.780193008453876
ZrO2,Water,20.0,50.0,0.028,0.728,2.0,0.6,3.333333333333333,0.56,0.02,2.82842712474619
ZrO2,Water,30.0,50.0,0.0273,0.724,2.0,0.6,3.333333333333333,0.8190000000000001,0.02,4.242640687119285
ZrO2,Water,60.0,20.0,0.0079,0.636,2.0,0.6,3.333333333333333,0.474,0.05,13.416407864998735
ZrO2,Water,70.0,50.0,0.015,0.668,2.0,0.6,3.333333333333333,1.05,0.02,9.899494936611664
ZrO2,Water,60.0,50.0,0.0132,0.66,2.0,0.6,3.333333333333333,0.792,0.02,8.48528137423857
ZrO2,Water,40.0,25.0,0.0014,0.606,2.0,0.6,3.333333333333333,0.056,0.04,8.0
ZrO2,Water,30.0,30.0,0.0182,0.683,2.0,0.6,3.333333333333333,0.546,0.0333333333333333,5.477225575051661
ZrO2,Water,20.0,20.0,0.027,0.723,2.0,0.6,3.333333333333333,0.54,0.05,4.47213595499958
ZrO2,Water,70.0,50.0,0.0222,0.701,2.0,0.6,3.333333333333333,1.554,0.02,9.899494936611664
ZrO2,Water,20.0,20.0,0.0212,0.697,2.0,0.6,3.333333333333333,0.424,0.05,4.47213595499958
ZrO2,Water,60.0,50.0,0.0289,0.732,2.0,0.6,3.333333333333333,1.734,0.02,8.48528137423857
ZrO2,Water,60.0,40.0,0.0227,0.704,2.0,0.6,3.333333333333333,1.362,0.025,9.486832980505138
ZrO2,Water,20.0,40.0,0.0222,0.701,2.0,0.6,3.333333333333333,0.444,0.025,3.162277660168379
ZrO2,Water,60.0,50.0,0.0195,0.689,2.0,0.6,3.333333333333333,1.17,0.02,8.48528137423857
ZrO2,Water,50.0,20.0,0.0231,0.705,2.0,0.6,3.333333333333333,1.155,0.05,11.180339887498947
ZrO2,Water,27.0,20.0,0.05,0.65,2.0,0.6,3.333333333333333,1.35,0.05,6.037383539249432
TiO2,Water,40.0,25.0,0.0112,0.63,8.4,0.6,14.000000000000002,0.448,0.04,8.0
TiO2,Water,20.0,40.0,0.05,0.61,8.4,0.6,14.000000000000002,1.0,0.025,3.162277660168379
TiO2,Water,30.0,40.0,0.0194,0.652,8.4,0.6,14.000000000000002,0.5820000000000001,0.025,4.743416490252569
TiO2,Water,30.0,40.0,0.05,0.65,8.4,0.6,14.000000000000002,1.5,0.025,4.743416490252569
TiO2,Water,20.0,25.0,0.026,0.67,8.4,0.6,14.000000000000002,0.52,0.04,4.0
TiO2,Water,50.0,40.0,0.0283,0.676,8.4,0.6,14.000000000000002,1.415,0.025,7.905694150420948
TiO2,Water,40.0,25.0,0.01,0.627,8.4,0.6,14.000000000000002,0.4,0.04,8.0
TiO2,Water,40.0,25.0,0.0111,0.63,8.4,0.6,14.000000000000002,0.444,0.04,8.0
TiO2,Water,40.0,20.0,0.0171,0.646,8.4,0.6,14.000000000000002,0.684,0.05,8.94427190999916
TiO2,Water,40.0,50.0,0.0184,0.65,8.4,0.6,14.000000000000002,0.736,0.02,5.65685424949238
TiO2,Water,20.0,50.0,0.0141,0.638,8.4,0.6,14.000000000000002,0.282,0.02,2.82842712474619
TiO2,Water,30.0,25.0,0.005,0.613,8.4,0.6,14.000000000000002,0.15,0.04,6.0
TiO2,Water,70.0,25.0,0.0231,0.662,8.4,0.6,14.000000000000002,1.617,0.04,14.0
TiO2,Water,40.0,40.0,0.05,0.66,8.4,0.6,14.000000000000002,2.0,0.025,6.324555320336758
TiO2,Water,40.0,50.0,0.0075,0.62,8.4,0.6,14.000000000000002,0.3,0.02,5.65685424949238
TiO2,Water,20.0,30.0,0.0091,0.625,8.4,0.6,14.000000000000002,0.182,0.0333333333333333,3.651483716701108
TiO2,Water,50.0,50.0,0.0121,0.633,8.4,0.6,14.000000000000002,0.605,0.02,7.071067811865475
TiO2,Water,40.0,30.0,0.027,0.673,8.4,0.6,14.000000000000002,1.08,0.0333333333333333,7.302967433402215
TiO2,Water,30.0,25.0,0.0297,0.68,8.4,0.6,14.000000000000002,0.891,0.04,6.0
TiO2,Water,70.0,20.0,0.0155,0.642,8.4,0.6,14.000000000000002,1.085,0.05,15.652475842498529
TiO2,Water,20.0,40.0,0.0173,0.647,8.4,0.6,14.000000000000002,0.346,0.025,3.162277660168379
TiO2,Water,40.0,30.0,0.0166,0.645,8.4,0.6,14.000000000000002,0.664,0.0333333333333333,7.302967433402215
TiO2,Water,30.0,25.0,0.0165,0.645,8.4,0.6,14.000000000000002,0.495,0.04,6.0
TiO2,Water,30.0,25.0,0.0034,0.609,8.4,0.6,14.000000000000002,0.102,0.04,6.0
TiO2,Water,30.0,40.0,0.05,0.67,8.4,0.6,14.000000000000002,1.5,0.025,4.743416490252569
TiO2,Water,40.0,40.0,0.0148,0.64,8.4,0.6,14.000000000000002,0.5920000000000001,0.025,6.324555320336758
TiO2,Water,60.0,50.0,0.0121,0.633,8.4,0.6,14.000000000000002,0.726,0.02,8.48528137423857
TiO2,Water,60.0,20.0,0.0242,0.665,8.4,0.6,14.000000000000002,1.452,0.05,13.416407864998735
TiO2,Water,50.0,50.0,0.0132,0.636,8.4,0.6,14.000000000000002,0.66,0.02,7.071067811865475
TiO2,Water,20.0,20.0,0.0111,0.63,8.4,0.6,14.000000000000002,0.222,0.05,4.47213595499958
TiO2,Water,20.0,40.0,0.003,0.608,8.4,0.6,14.000000000000002,0.06,0.025,3.162277660168379
TiO2,Water,40.0,40.0,0.0167,0.645,8.4,0.6,14.000000000000002,0.6679999999999999,0.025,6.324555320336758
TiO2,Water,60.0,40.0,0.0122,0.633,8.4,0.6,14.000000000000002,0.7320000000000001,0.025,9.486832980505138
TiO2,Water,40.0,30.0,0.0192,0.652,8.4,0.6,14.000000000000002,0.7679999999999999,0.0333333333333333,7.302967433402215
TiO2,Water,70.0,50.0,0.0291,0.679,8.4,0.6,14.000000000000002,2.037,0.02,9.899494936611664
TiO2,Water,60.0,50.0,0.0067,0.618,8.4,0.6,14.000000000000002,0.402,0.02,8.48528137423857
TiO2,Water,20.0,40.0,0.05,0.63,8.4,0.6,14.000000000000002,1.0,0.025,3.162277660168379
TiO2,Water,20.0,50.0,0.0193,0.652,8.4,0.6,14.000000000000002,0.386,0.02,2.82842712474619
TiO2,Water,50.0,20.0,0.0224,0.66,8.4,0.6,14.000000000000002,1.12,0.05,11.180339887498947
TiO2,Water,40.0,40.0,0.05,0.69,8.4,0.6,14.000000000000002,2.0,0.025,6.324555320336758
TiO2,Water,30.0,30.0,0.0261,0.67,8.4,0.6,14.000000000000002,0.783,0.0333333333333333,5.477225575051661
TiO2,Water,20.0,40.0,0.05,0.65,8.4,0.6,14.000000000000002,1.0,0.025,3.162277660168379
TiO2,Water,60.0,40.0,0.0299,0.681,8.4,0.6,14.000000000000002,1.794,0.025,9.486832980505138
TiO2,Water,30.0,40.0,0.0082,0.622,8.4,0.6,14.000000000000002,0.246,0.025,4.743416490252569
TiO2,Water,60.0,20.0,0.0013,0.604,8.4,0.6,14.000000000000002,0.078,0.05,13.416407864998735
TiO2,Water,40.0,25.0,0.0104,0.628,8.4,0.6,14.000000000000002,0.416,0.04,8.0
TiO2,Water,40.0,20.0,0.0186,0.65,8.4,0.6,14.000000000000002,0.744,0.05,8.94427190999916
TiO2,Water,50.0,20.0,0.0103,0.628,8.4,0.6,14.000000000000002,0.515,0.05,11.180339887498947
TiO2,Water,40.0,50.0,0.025,0.668,8.4,0.6,14.000000000000002,1.0,0.02,5.65685424949238
TiO2,Water,20.0,30.0,0.013,0.635,8.4,0.6,14.000000000000002,0.26,0.0333333333333333,3.651483716701108
TiO2,Water,50.0,25.0,0.0231,0.662,8.4,0.6,14.000000000000002,1.155,0.04,10.0
TiO2,Water,50.0,40.0,0.0123,0.633,8.4,0.6,14.000000000000002,0.615,0.025,7.905694150420948
TiO2,Water,50.0,20.0,0.0083,0.622,8.4,0.6,14.000000000000002,0.415,0.05,11.180339887498947
TiO2,Water,40.0,40.0,0.017,0.646,8.4,0.6,14.000000000000002,0.68,0.025,6.324555320336758
TiO2,Water,50.0,25.0,0.02,0.654,8.4,0.6,14.000000000000002,1.0,0.04,10.0
TiO2,Water,40.0,40.0,0.0294,0.679,8.4,0.6,14.000000000000002,1.176,0.025,6.324555320336758
TiO2,Water,40.0,50.0,0.0031,0.608,8.4,0.6,14.000000000000002,0.124,0.02,5.65685424949238
TiO2,Water,60.0,40.0,0.0019,0.605,8.4,0.6,14.000000000000002,0.114,0.025,9.486832980505138
TiO2,Water,30.0,30.0,0.0253,0.668,8.4,0.6,14.000000000000002,0.759,0.0333333333333333,5.477225575051661
TiO2,Water,40.0,40.0,0.0032,0.609,8.4,0.6,14.000000000000002,0.128,0.025,6.324555320336758
TiO2,Water,40.0,30.0,0.0111,0.63,8.4,0.6,14.000000000000002,0.444,0.0333333333333333,7.302967433402215
TiO2,Water,70.0,40.0,0.0226,0.661,8.4,0.6,14.000000000000002,1.582,0.025,11.067971810589327
TiO2,Water,30.0,40.0,0.05,0.63,8.4,0.6,14.000000000000002,1.5,0.025,4.743416490252569
TiO2,Water,30.0,25.0,0.0212,0.657,8.4,0.6,14.000000000000002,0.636,0.04,6.0
TiO2,Water,20.0,40.0,0.0271,0.673,8.4,0.6,14.000000000000002,0.542,0.025,3.162277660168379
TiO2,Water,40.0,40.0,0.05,0.64,8.4,0.6,14.000000000000002,2.0,0.025,6.324555320336758
CuO,Water,50.0,20.0,0.0166,0.816,20.0,0.6,33.333333333333336,0.83,0.05,11.180339887498947
CuO,Water,50.0,31.0,0.03,0.749794,20.0,0.6,33.333333333333336,1.5,0.032258064516129,8.980265101338746
CuO,Water,60.0,25.0,0.0192,0.85,20.0,0.6,33.333333333333336,1.152,0.04,12.0
CuO,Water,20.0,20.0,0.0015,0.62,20.0,0.6,33.333333333333336,0.03,0.05,4.47213595499958
CuO,Water,40.0,31.0,0.005,0.665283,20.0,0.6,33.333333333333336,0.2,0.032258064516129,7.184212081070997
CuO,Transformer Oil,20.0,31.0,0.03,0.124875,20.0,0.6,60.0,0.6,0.032258064516129,3.5921060405354983
CuO,Water,70.0,25.0,0.0149,0.794,20.0,0.6,33.333333333333336,1.043,0.04,14.0
CuO,Ethylene Glycol,30.0,31.0,0.01,0.278902,20.0,0.6,60.0,0.3,0.032258064516129,5.388159060803248
CuO,Transformer Oil,30.0,31.0,0.02,0.12485,20.0,0.6,60.0,0.6,0.032258064516129,5.388159060803248
CuO,Water,20.0,25.0,0.0038,0.649,20.0,0.6,33.333333333333336,0.076,0.04,4.0
CuO,Water,30.0,50.0,0.0147,0.791,20.0,0.6,33.333333333333336,0.441,0.02,4.242640687119285
CuO,Water,50.0,25.0,0.0172,0.824,20.0,0.6,33.333333333333336,0.86,0.04,10.0
CuO,Water,70.0,40.0,0.0033,0.643,20.0,0.6,33.333333333333336,0.231,0.025,11.067971810589327
CuO,Water,20.0,31.0,0.03,0.649264,20.0,0.6,33.333333333333336,0.6,0.032258064516129,3.5921060405354983
CuO,Ethylene Glycol,40.0,31.0,0.005,0.2750925,20.0,0.6,60.0,0.2,0.032258064516129,7.184212081070997
CuO,Transformer Oil,40.0,31.0,0.03,0.130255,20.0,0.6,60.0,1.2,0.032258064516129,7.184212081070997
CuO,Water,30.0,20.0,0.0138,0.78,20.0,0.6,33.333333333333336,0.414,0.05,6.7082039324993685
CuO,Transformer Oil,50.0,31.0,0.02,0.1269,20.0,0.6,60.0,1.0,0.032258064516129,8.980265101338746
CuO,Water,50.0,25.0,0.02,0.86,20.0,0.6,33.333333333333336,1.0,0.04,10.0
CuO,Ethylene Glycol,50.0,31.0,0.02,0.306544,20.0,0.6,60.0,1.0,0.032258064516129,8.980265101338746
CuO,Water,20.0,30.0,0.0173,0.825,20.0,0.6,33.333333333333336,0.346,0.0333333333333333,3.651483716701108
CuO,Water,30.0,31.0,0.005,0.6370425,20.0,0.6,33.333333333333336,0.15,0.032258064516129,5.388159060803248
CuO,Ethylene Glycol,40.0,31.0,0.02,0.2981235,20.0,0.6,60.0,0.8,0.032258064516129,7.184212081070997
CuO,Ethylene Glycol,20.0,31.0,0.005,0.2601005,20.0,0.6,60.0,0.1,0.032258064516129,3.5921060405354983
CuO,Water,40.0,50.0,0.0148,0.793,20.0,0.6,33.333333333333336,0.5920000000000001,0.02,5.65685424949238
CuO,Water,23.0,33.0,0.05,0.72,20.0,0.6,33.333333333333336,1.15,0.0303030303030303,4.003786086981051
CuO,Water,50.0,50.0,0.0013,0.617,20.0,0.6,33.333333333333336,0.065,0.02,7.071067811865475
CuO,Water,60.0,25.0,0.0075,0.698,20.0,0.6,33.333333333333336,0.4499999999999999,0.04,12.0
CuO,Water,20.0,31.0,0.005,0.616352,20.0,0.6,33.333333333333336,0.1,0.032258064516129,3.5921060405354983
CuO,Ethylene Glycol,20.0,31.0,0.01,0.268812,20.0,0.6,60.0,0.2,0.032258064516129,3.5921060405354983
CuO,Water,70.0,30.0,0.0162,0.811,20.0,0.6,33.333333333333336,1.134,0.0333333333333333,12.780193008453876
CuO,Water,50.0,50.0,0.011,0.743,20.0,0.6,33.333333333333336,0.5499999999999999,0.02,7.071067811865475
CuO,Water,40.0,25.0,0.01,0.73,20.0,0.6,33.333333333333336,0.4,0.04,8.0
CuO,Water,50.0,25.0,0.0087,0.713,20.0,0.6,33.333333333333336,0.4349999999999999,0.04,10.0
CuO,Water,40.0,30.0,0.0289,0.976,20.0,0.6,33.333333333333336,1.156,0.0333333333333333,7.302967433402215
CuO,Water,20.0,30.0,0.0248,0.923,20.0,0.6,33.333333333333336,0.496,0.0333333333333333,3.651483716701108
CuO,Ethylene Glycol,50.0,31.0,0.005,0.280784,20.0,0.6,60.0,0.25,0.032258064516129,8.980265101338746
CuO,Water,30.0,40.0,0.0031,0.64,20.0,0.6,33.333333333333336,0.093,0.025,4.743416490252569
CuO,Water,50.0,31.0,0.02,0.730486,20.0,0.6,33.333333333333336,1.0,0.032258064516129,8.980265101338746
CuO,Water,30.0,50.0,0.0074,0.696,20.0,0.6,33.333333333333336,0.222,0.02,4.242640687119285
CuO,Water,20.0,33.0,0.05,0.65,20.0,0.6,33.333333333333336,1.0,0.0303030303030303,3.481553119113957
